RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 08:59,,h,Página :,0001/,73
PB,AGUA BRANCA,,,,,,
2001.203,LONA | UNIBANNER FUNDO PRETO,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"20115054-0LONA UNIBANNER BRILHO F.P. 300x500 380g 2,20mt-.",,"110,00",M2,"6,36","453,78","700,00","35,17%"
,Total :,"110,00",,"6,36","453,78","700,00","35,17%"
,TOTAL CIDADE:,"110,00",,,"453,78","700,00","35,17%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 08:59,,h,Página :,0002/,73
PB,ALAGOA GRANDE,,,,,,
2001.203,LONA | UNIBANNER FUNDO PRETO,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"20115054-0LONA UNIBANNER BRILHO F.P. 300x500 380g 2,20mt-.",,"110,00",M2,"6,50","453,78","715,00","36,53%"
,Total :,"110,00",,"6,50","453,78","715,00","36,53%"
2002.2001,ADESIVO | UNITRAMA,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-.",,"53,00",M2,"5,60","170,80","297,00","42,49%"
,Total :,"53,00",,"5,60","170,80","297,00","42,49%"
2003.2052,ACM | UNIBOND 1.50,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013111-0ACM UNIBOND AMARELO ALTO BRILHO 3mm,1.50 x 5.00mt 8821-.,"2,00",UN,"603,00","723,49","1.206,00","40,01%"
,Total :,"2,00",,"603,00","723,49","1.206,00","40,01%"
2003.2053,ACM | SIGNBOND 1.22,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013219-0ACM SIGNBOND AMARELO ALTO BRILHO 3mm 1.22 x 5.00mt T8821-.,,"2,00",UN,"419,00","501,02","838,00","40,21%"
2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-.,,"6,00",UN,"421,67","1.533,39","2.530,00","39,39%"
2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-.,,"2,00",UN,"410,00","472,08","820,00","42,43%"
2013163-0ACM SIGNBOND PINK ALTO BRILHO 3mm 1.22 x 5.00mt GMH200407-.,,"1,00",UN,"431,00","257,96","431,00","40,15%"
,Total :,"11,00",,"419,91","2.764,44","4.619,00","40,15%"
2020.2016,CHAPA PVC | UNIPOL,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
