RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,04/12/2025 12:34,,h,Página :,0001/,68
PB,ALAGOA GRANDE,,,,,,
2002.2001,ADESIVO | UNITRAMA,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-.",,"53,00",M2,"5,80","173,47","307,40","43,57%"
,Total :,"53,00",,"5,80","173,47","307,40","43,57%"
2003.2052,ACM | UNIBOND 1.50,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013065-0ACM UNIBOND AZUL ESCURO ALTO BRILHO 3mm,1.50 x 5.00mt T808-.,"3,00",UN,"603,33","1.056,85","1.810,00","41,61%"
,Total :,"3,00",,"603,33","1.056,85","1.810,00","41,61%"
2003.2053,ACM | SIGNBOND 1.22,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013219-0ACM SIGNBOND AMARELO ALTO BRILHO 3mm 1.22 x 5.00mt T8821-.,,"4,00",UN,"389,00","1.016,87","1.556,00","34,65%"
2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-.,,"3,00",UN,"420,00","757,77","1.260,00","39,86%"
2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-.,,"2,00",UN,"420,00","509,13","840,00","39,39%"
2013139-0ACM SIGNBOND GRAFITE 3mm 1.22 x 5.00mt 8863-.,,"1,00",UN,"420,00","260,38","420,00","38,00%"
2013215-0ACM SIGNBOND POST GREEN ALTO BRILHO 3mm 1.22 x 5.00mt UNI8842-.,,"1,00",UN,"389,00","250,66","389,00","35,56%"
2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-.,,"2,00",UN,"420,00","507,73","840,00","39,56%"
,Total :,"13,00",,"408,08","3.302,55","5.305,00","37,75%"
2020.2016,CHAPA PVC | UNIPOL,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-.,,"1,00",UN,"170,00","105,53","170,00","37,92%"
,Total :,"1,00",,"170,00","105,53","170,00","37,93%"
2026.2001,ACRILICO | UNITRAMA,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"20260058-0ACRILICO UNIGLASS AZUL 2mm c/ 1,00mt X 2,00mt-.",,"1,00",UN,"210,00","123,16","210,00","41,35%"
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-.",,"1,00",UN,"220,00","117,67","220,00","46,51%"
"20260018-0ACRILICO UNIGLASS CRISTAL 4mm c/ 1,00mt X 2,00mt NEW-.",,"1,00",UN,"390,00","230,27","390,00","40,96%"
