# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0001/ ",0078
PB,ALAGOA GRANDE,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3033-0 ","CART. DE TONER COMP. COM PM CE285A 1,6K EVOLUT(CX C/ 20)-. ","10,00 ","PC ","28,00 ","164,41 ","280,00","41,28%"
"3076-0 ","CART. DE TONER COMP. COM PM CF217A/M130/M102 1,6K CHMT(CX C/25)-. ","8,00 ","PC ","27,00 ","130,98 ","216,00","39,36%"
"3285-0 ","CART. DE TONER COMP. COM PM CF258A S/ CHIP EVOLUT 3K (CX C/ 10)-. ","5,00 ","PC ","48,00 ","128,42 ","240,00","46,49%"
,"Total : ",,,,,,
,,"23,00 ",,"32,00","423,82 ","736,00","42,42%"
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","15,00 ","PC ","15,90 ","150,91 ","238,50","36,73%"
,"Total : ",,,,,,
,,"15,00 ",,"15,90","150,91 ","238,50","36,73%"
"10.135 ",CARTUCHO DE TONER | FOTOCONDUTOR,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3663-0 ","KIT FOTOCONDUTOR COMP. COM PM DR219A 12K EVOLUT(CX C/ 15)-. ","5,00 ","PC ","45,00 ","96,84 ","225,00","56,96%"
,"Total : ",,,,,,
,,"5,00 ",,"45,00","96,84 ","225,00","56,96%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013065-0ACM UNIBOND AZUL ESCURO ALTO BRILHO 3mm 1.50 x 5.00mt T808-. ",,"2,00 ","UN ","595,00 ","742,43 ","1.190,00","37,61%"
,"Total : ",,,,,,
,,"2,00 ",,"595,00","742,43 ","1.190,00","37,61%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"4,00 ","UN ","420,00 ","1.051,32 ","1.680,00","37,42%"
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"4,00 ","UN ","400,00 ","1.018,26 ","1.600,00","36,36%"
"2013215-0ACM SIGNBOND POST GREEN ALTO BRILHO 3mm 1.22 x 5.00mt UNI8842-. ",,"2,00 ","UN ","439,00 ","526,21 ","878,00","40,07%"
"2013126-0ACM SIGNBOND PRATA METALIZADO 3mm 1.22 x 5.00mt 8801-. ",,"1,00 ","UN ","400,00 ","262,98 ","400,00","34,26%"
"2013137-0ACM SIGNBOND RUBI 3mm 1.22 x 5.00mt UNI8833-. ",,"8,00 ","UN ","410,00 ","2.119,47 ","3.280,00","35,38%"
"2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-. ",,"1,00 ","UN ","410,00 ","263,05 ","410,00","35,84%"
,"Total : ",,,,,,
,,"20,00 ",,"412,40","5.241,29 ","8.248,00","36,45%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"1,00 ","UN ","150,00 ","105,53 ","150,00","29,65%"
,"Total : ",,,,,,
,,"1,00 ",,"150,00","105,53 ","150,00","29,65%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260058-0ACRILICO UNIGLASS AZUL 2mm c/ 1,00mt X 2,00mt-. ",,"1,00 ","UN ","206,00 ","123,16 ","206,00","40,21%"
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","195,00 ","117,67 ","195,00","39,66%"
"20260065-0ACRILICO UNIGLASS VERDE 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","199,00 ","116,16 ","199,00","41,63%"
"20260115-0ACRILICO UNIGLASS VERMELHO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","215,00 ","257,27 ","430,00","40,17%"
,"Total : ",,,,,,
,,"5,00 ",,"206,00","614,25 ","1.030,00","40,36%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0002/ ",0078
PB,ALAGOA GRANDE,,,,,,
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015045-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 19 X 20 MM-. ",,"5,00 ","UN ","81,00 ","239,21 ","405,00","40,94%"
,"Total : ",,,,,,
,,"5,00 ",,"81,00","239,21 ","405,00","40,94%"
,2030.2010 ACESSÓRIOS SIGN | PONTEIRAS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017001-0PONTEIRAS DE 5/8 BRANCA PCT 100-. ",,"1,00 ","PCT ","12,00 ","6,62 ","12,00","44,83%"
,"Total : ",,,,,,
,,"1,00 ",,"12,00","6,62 ","12,00","44,82%"
,"TOTAL CIDADE: ","77,00 ",,,"7.620,90 ","12.234,50","37,71%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0003/ ",0078
PB,ARARA,,,,,,
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013111-0ACM UNIBOND AMARELO ALTO BRILHO 3mm 1.50 x 5.00mt 8821-. ",,"3,00 ","UN ","595,00 ","1.095,93 ","1.785,00","38,60%"
,"Total : ",,,,,,
,,"3,00 ",,"595,00","1.095,93 ","1.785,00","38,60%"
,2030.2003 ACESSÓRIOS SIGN | SOLVENTE,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015036-0PRIMER MAXIMUS UNIBOND P/ ACM LATA 900ML-. ",,"1,00 ","UN ","120,00 ","70,05 ","120,00","41,63%"
,"Total : ",,,,,,
,,"1,00 ",,"120,00","70,05 ","120,00","41,63%"
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015045-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 19 X 20 MM-. ",,"5,00 ","UN ","83,40 ","239,21 ","417,00","42,64%"
,"Total : ",,,,,,
,,"5,00 ",,"83,40","239,21 ","417,00","42,64%"
