RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 09:01,,h,Página :,0001/,79
PB,ALAGOA GRANDE,,,,,,
2003.2052,ACM | UNIBOND 1.50,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013198-0ACM UNIBOND BRONZE 3mm,1.50 x 5.00mt 8812-.,"4,00",UN,"591,38","1.411,67","2.365,50","40,32%"
2013077-0ACM UNIBOND LARANJA ALTO BRILHO 3mm,1.50 x 5.00mt T801-.,"2,00",UN,"575,00","723,40","1.150,00","37,10%"
2013081-0ACM UNIBOND PRATA METALIZADO 3mm,1.50 x 5.00mt 8801-.,"7,00",UN,"575,00","2.514,05","4.025,00","37,54%"
2013085-0ACM UNIBOND PRETO ALTO BRILHO 3mm 1.50 x 5.00mt T804-.,,"2,00",UN,"570,00","707,23","1.140,00","37,96%"
,Total :,"15,00",,"578,70","5.356,35","8.680,50","38,29%"
2003.2053,ACM | SIGNBOND 1.22,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013139-0ACM SIGNBOND GRAFITE 3mm 1.22 x 5.00mt 8863-.,,"3,00",UN,"420,00","748,51","1.260,00","40,59%"
2013134-0ACM SIGNBOND LARANJA ALTO BRILHO 3mm 1.22 x 5.00mt T801-.,,"1,00",UN,"424,50","253,58","424,50","40,26%"
2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-.,,"3,00",UN,"430,00","779,49","1.290,00","39,57%"
,Total :,"7,00",,"424,93","1.781,57","2.974,50","40,11%"
2020.2016,CHAPA PVC | UNIPOL,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-.,,"1,00",UN,"360,00","215,87","360,00","40,04%"
,Total :,"1,00",,"360,00","215,87","360,00","40,04%"
2020.2033,CHAPA PVC | BOLD,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2019136-0PVC EXPANDIDO BOLDCELL BRANCO 1120x2440 - 20MM-.,,"1,00",UN,"430,00","312,43","430,00","27,34%"
,Total :,"1,00",,"430,00","312,43","430,00","27,34%"
2026.2001,ACRILICO | UNITRAMA,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"20260019-0ACRILICO UNIGLASS BRANCO 2mm c/ 1,00mt X 2,00mt NEW-.",,"4,00",UN,"187,50","485,78","750,00","35,23%"
,Total :,"4,00",,"187,50","485,78","750,00","35,23%"
2030.2005,ACESSÓRIOS SIGN | FITA,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"2015045-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 19 X 20 MM-.",,"2,00",UN,"82,00","98,36","164,00","40,02%"
,Total :,"2,00",,"82,00","98,36","164,00","40,02%"
,TOTAL CIDADE:,"30,00",,,"8.250,37","13.359,00","38,24%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 09:01,,h,Página :,0002/,79
PB,ALHANDRA,,,,,,
19.219,TINTA | EPSON/BULK INK/1L,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
12103-0,TINTA BULK INK EPSON ECO SOLVENT ES6510 MAGENTA 1L-.,"1,00",UN,"135,00","76,46","135,00","43,36%"
,Total :,"1,00",,"135,00","76,46","135,00","43,36%"
,TOTAL CIDADE:,"1,00",,,"76,46","135,00","43,36%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 09:01,,h,Página :,0003/,79
PB,ARARUNA,,,,,,
19.236,TINTA | INKBANK,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
12146-0,TINTA INKBANK EPSON E850 BLACK 1LT (CX C/ 20)-.,"1,00",UN,"50,00","21,56","50,00","56,88%"
